Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"verifyElementPresent(findTestObject(""Intermediate/4_Bootstrap_List_Box/dynamic_selected_li_items_in_right"", [""item"":listData[0]]), 2)",Chrome 106.0.0.0,,,2022-10-12 09:47:11,2022-10-12 09:47:12,0.458s,PASSED
"verifyElementNotPresent(findTestObject(""Intermediate/4_Bootstrap_List_Box/dynamic_default_li_items_in_left"", [""item"":listData[0]]), 2)",Chrome 106.0.0.0,,,2022-10-12 09:47:12,2022-10-12 09:47:12,0.350s,PASSED
"verifyElementNotPresent(findTestObject(""Intermediate/4_Bootstrap_List_Box/dynamic_selected_li_items_in_left"", [""item"":listData[0]]), 2)",Chrome 106.0.0.0,,,2022-10-12 09:47:12,2022-10-12 09:47:12,0.350s,PASSED
"verifyElementPresent(findTestObject(""Intermediate/4_Bootstrap_List_Box/dynamic_default_li_items_in_left"", [""item"":listData[1]]), 2)",Chrome 106.0.0.0,,,2022-10-12 09:47:12,2022-10-12 09:47:13,0.342s,PASSED
delay(3),Chrome 106.0.0.0,,,2022-10-12 09:47:13,2022-10-12 09:47:16,3.011s,PASSED
closeBrowser(),Chrome 106.0.0.0,,,2022-10-12 09:47:16,2022-10-12 09:47:17,1.083s,PASSED
,,,,,,,
Test Cases/Intermediate/4_Bootstrap_List_Box/BLB6_Search_select_and_move_to_right,Chrome 106.0.0.0,,,2022-10-12 09:47:17,2022-10-12 09:47:33,16.737s,PASSED
"TestID = ""TEST-00005""",Chrome 106.0.0.0,,,2022-10-12 09:47:17,2022-10-12 09:47:17,0.001s,PASSED
"FileTestData = ""TestData_Sheet5""",Chrome 106.0.0.0,,,2022-10-12 09:47:17,2022-10-12 09:47:17,0.000s,PASSED
totalRow = findTestData(FileTestData).getRowNumbers(),Chrome 106.0.0.0,,,2022-10-12 09:47:17,2022-10-12 09:47:17,0.052s,PASSED
totalColumn = findTestData(FileTestData).getColumnNumbers(),Chrome 106.0.0.0,,,2022-10-12 09:47:17,2022-10-12 09:47:17,0.047s,PASSED
rowNum = 1,Chrome 106.0.0.0,,,2022-10-12 09:47:17,2022-10-12 09:47:17,0.000s,PASSED
arrayLength = 0,Chrome 106.0.0.0,,,2022-10-12 09:47:17,2022-10-12 09:47:17,0.000s,PASSED
"for ([rowNum, rowNum < totalRow, (rowNum++)])",Chrome 106.0.0.0,,,2022-10-12 09:47:17,2022-10-12 09:47:17,0.232s,PASSED
"println(""Row number is: "" + rowNum)",Chrome 106.0.0.0,,,2022-10-12 09:47:17,2022-10-12 09:47:17,0.000s,PASSED
"for ([i = 0, i < totalColumn - 1, (i++)])",Chrome 106.0.0.0,,,2022-10-12 09:47:17,2022-10-12 09:47:18,0.141s,PASSED
"println(""Array length is: "" + arrayLength)",Chrome 106.0.0.0,,,2022-10-12 09:47:18,2022-10-12 09:47:18,0.000s,PASSED
listData = [],Chrome 106.0.0.0,,,2022-10-12 09:47:18,2022-10-12 09:47:18,0.000s,PASSED
"for ([rowNum = 1, rowNum < totalRow, (rowNum++)])",Chrome 106.0.0.0,,,2022-10-12 09:47:18,2022-10-12 09:47:18,0.591s,PASSED
println(listData),Chrome 106.0.0.0,,,2022-10-12 09:47:18,2022-10-12 09:47:18,0.000s,PASSED
"callTestCase(findTestCase(""Intermediate/Prerequisite1_Access_Immediate""), [:], STOP_ON_FAILURE)",Chrome 106.0.0.0,,,2022-10-12 09:47:18,2022-10-12 09:47:25,6.533s,PASSED
"click(findTestObject(""Intermediate/option_BootstrapListBox""))",Chrome 106.0.0.0,,,2022-10-12 09:47:25,2022-10-12 09:47:25,0.546s,PASSED
"setText(findTestObject(""Intermediate/4_Bootstrap_List_Box/searchbox_in_right""), ""d"")",Chrome 106.0.0.0,,,2022-10-12 09:47:25,2022-10-12 09:47:26,0.838s,PASSED
"for ([i = 0, i < length, (i++)])",Chrome 106.0.0.0,,,2022-10-12 09:47:26,2022-10-12 09:47:27,0.815s,PASSED
"click(findTestObject(""Intermediate/4_Bootstrap_List_Box/dynamic_default_li_items_in_right"", [""item"":listData[0]]))",Chrome 106.0.0.0,,,2022-10-12 09:47:27,2022-10-12 09:47:27,0.381s,PASSED
"click(findTestObject(""Intermediate/4_Bootstrap_List_Box/button_move_left""))",Chrome 106.0.0.0,,,2022-10-12 09:47:27,2022-10-12 09:47:28,0.377s,PASSED
"verifyElementPresent(findTestObject(""Intermediate/4_Bootstrap_List_Box/dynamic_selected_li_items_in_left"", [""item"":listData[0]]), 2)",Chrome 106.0.0.0,,,2022-10-12 09:47:28,2022-10-12 09:47:28,0.456s,PASSED
"verifyElementNotPresent(findTestObject(""Intermediate/4_Bootstrap_List_Box/dynamic_default_li_items_in_right"", [""item"":listData[0]]), 2)",Chrome 106.0.0.0,,,2022-10-12 09:47:28,2022-10-12 09:47:28,0.348s,PASSED
"verifyElementNotPresent(findTestObject(""Intermediate/4_Bootstrap_List_Box/dynamic_selected_li_items_in_right"", [""item"":listData[0]]), 2)",Chrome 106.0.0.0,,,2022-10-12 09:47:28,2022-10-12 09:47:29,0.347s,PASSED
"verifyElementPresent(findTestObject(""Intermediate/4_Bootstrap_List_Box/dynamic_default_li_items_in_right"", [""item"":listData[1]]), 2)",Chrome 106.0.0.0,,,2022-10-12 09:47:29,2022-10-12 09:47:29,0.342s,PASSED
delay(3),Chrome 106.0.0.0,,,2022-10-12 09:47:29,2022-10-12 09:47:32,3.011s,PASSED
closeBrowser(),Chrome 106.0.0.0,,,2022-10-12 09:47:32,2022-10-12 09:47:33,1.302s,PASSED
